No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
241,27/05/2023,MGV 99,Goavy,Myrtaceae,Psidium,guajava,Psidium guajava,FR,0.93,51.2714124,40.7025855,14.6038119,8.0074798,5.59,6.6205363,10.2484038,26.2738390,12.47640154,2.629489235
242,27/05/2023,MGV 100,Mongina,Euphorbiaceae,Croton,mongue,Croton mongue,OT,0.94,67.9530116,57.4012223,16.7860857,7.9065455,4.33,0.8066296,8.7437105,18.1661869,,
243,27/05/2023,MGV 101,Tsirika,NA,NA,NA,NA,FR,0.94,54.1471746,45.6644086,16.9210931,9.7203232,6.03,0.9223890,12.2089676,26.6865886,,
244,27/05/2023,MGV 102,Vahipisorona,NA,NA,NA,NA,FR,0.95,59.4649610,45.2160352,19.0976423,10.8377485,6.74,19.3683406,1.4039499,13.0215308,5.865809562,1.198658644
245,27/05/2023,MGV 103,Amotana,Moraceae,Ficus,lutea,Ficus lutea,FR,0.94,58.0533048,48.1026093,7.2236469,7.2499421,0.83,5.7986943,5.6285042,29.6886706,4.019814845,0.900017143
246,27/05/2023,MGV 104,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.92,69.0462858,54.7785869,24.6764254,5.4440909,0.91,1.7694042,4.9690108,23.3018569,,
247,27/05/2023,MGV 105,Kalamasimbarika,Melastomataceae,Medinilla,sp.,Medinilla sp.,LE,0.93,69.0147342,56.0804368,39.3635115,28.4837793,10.06,1.6796065,8.4348667,10.8133915,2.380366084,0.561856674
248,19/06/2023,MGV 106,Rotrafotsy,Myrtaceae,Eugenia,sp.,Eugenia sp.,FR,0.94,24.8414260,22.3469476,13.9456808,12.9743370,5.71,2.8469057,0.9232072,65.6804676,15.67321748,2.957199185
249,19/06/2023,MGV 107,Fantsikahitra,Rubiaceae,Canthium,sp.,Canthium sp.,FR,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
250,19/06/2023,MGV 108,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.93,63.8491304,55.1293166,26.7266682,8.3456927,2.59,1.8119193,5.8557054,25.8883403,,
251,19/06/2023,MGV 109,Vatsilana,Sapindaceae,Plagioscyphus,sp.,Plagioscyphus sp.,LE,0.95,41.0568133,33.5488462,19.5318736,24.4106337,17.77,3.4303162,6.5673286,31.1783120,,
252,19/06/2023,MGV 110,Sandramy,Anacardiaceae,Abrahamia,turkii,Abrahamia turkii,FR,0.95,41.5520682,38.1459265,24.7537791,5.6161785,0.10,4.9970792,4.1081785,49.2433641,,
253,17/07/2023,MGV 111,Tongoalahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,LE,0.93,42.0312719,36.6613563,22.7480963,6.1069039,-0.99,3.4591857,8.8988880,46.6014567,6.648608717,2.112581095
254,17/07/2023,MGV 112,Kalafana-lg,Myrsinaceae,Oncostemon,boiseum,Oncostemon boiseum,FR,0.97,38.8316986,29.8546897,11.3364667,6.7419441,3.93,28.6033962,20.4547493,8.1830797,,
255,17/07/2023,MGV 113,Fohaninasity,NA,NA,NA,NA,FR,0.94,44.3673127,33.3537265,11.7404978,9.3915233,4.64,2.7652039,5.5042956,42.7194737,,
256,17/07/2023,MGV 114,Tambonetra,NA,NA,NA,NA,LE,0.93,46.2389404,30.8928205,13.9989925,10.7665798,5.17,4.6739420,4.8539778,39.0629872,,
257,17/07/2023,MGV 115,Vandrika,Apocynaceae,Craspidospermum,verticillatum,Craspidospermum verticillatum,FR,0.96,36.9783203,28.8735739,20.0841533,10.7754945,5.90,25.5172270,7.7747617,23.8288316,,
258,17/07/2023,MGV 116,Rotramena,Myrtaceae,Eugenia,sp.,Eugenia sp.,FR,0.94,32.9817529,28.5752325,7.6448021,6.7730250,2.28,6.0987505,3.4460708,55.1973368,18.84034432,2.67862245
259,17/07/2023,MGV 117,Tavolo,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FR,0.95,47.2075964,39.5955844,26.8226201,17.3017708,6.52,3.6759369,9.0844748,33.5142097,19.24467658,3.603406857
