No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
123,02/06/2023,TALA 123,Rotrafotsy,Myrtaceae,Eugenia,sp.,Eugenia sp.,FR,0.94,27.1265384,23.2832232,14.9189841,13.1140496,9.26,4.2595675,3.1727789,56.1776968,8.462282398,3.1943802
124,02/06/2023,TALA 124,Rahiaka,Sapotaceae,Gambeya,madagascariensis,Gambeya madagascariensis,FR,0.96,22.8610202,20.8315522,18.9241659,8.7718259,5.83,18.5310133,7.6243302,45.1535779,,
125,02/06/2023,TALA 125,Roikina,Fabaceae,Acacia,sp.,Acacia sp.,OT,0.93,51.2999980,43.0760114,25.6949078,23.5034517,14.42,1.4949845,2.3378969,30.4492222,,
126,02/06/2023,TALA 126,Tongolahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,LE,0.94,40.8478812,36.8455268,22.0116521,5.6263995,1.34,4.4391192,4.6748174,48.6960838,,
127,02/06/2023,TALA 127,Hazoharaka,Anisophylleaceae,Anysophyllea,fallax,Anysophyllea fallax,LE,0.92,49.8487016,32.5230257,14.1757798,16.1556238,11.53,2.8328432,7.2046539,28.5826807,,
128,23/06/2023,TALA 128,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.94,67.0792180,51.9037263,24.2471999,4.8700054,2.35,3.7910729,3.8928721,22.8849845,,
129,23/06/2023,TALA 129,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,LE,0.94,54.1050538,48.4696550,36.4786028,18.1559965,8.17,2.9425322,6.1100978,28.6762605,,
130,23/06/2023,TALA 130,Rahiaka,Sapotaceae,Gambeya,madagascariensis,Gambeya madagascariensis,FR,0.97,18.5952999,16.5412140,14.3588067,6.9474385,4.97,15.7133712,6.3119646,54.4080848,45.43345829,10.3110152
131,23/06/2023,TALA 131,Rotrafotsy,Myrtaceae,Eugenia,sp.,Eugenia sp.,FR,0.95,22.0177633,19.5059595,11.9314442,12.4348780,9.00,4.3033075,1.3477612,63.3328274,22.96650718,4.0002383
132,23/06/2023,TALA 132,Tongolahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,LE,0.95,45.2341462,34.8552378,18.8492920,5.5595340,1.83,3.7794380,5.3074335,43.8440655,,
133,14/07/2023,TALA 133,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.96,68.7409462,53.2050876,25.3015522,4.1651917,1.37,2.6326086,4.8346008,22.4260917,,
134,14/07/2023,TALA 134,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,LE,0.94,54.3500383,46.1908345,31.6506859,16.2503825,8.08,3.9053068,7.5125254,26.1545951,,
